291 LINCOLN PLACE,11238,2
796 MACON STREET,11233,1
104 PATCHEN AVENUE,11221,4
492 CLASSON AVENUE,11238,1
179 POWERS STREET,11211,1
23 EAST 95 STREET,11212,39
10 EAST 43 STREET,11203,5
592 WARWICK STREET,11207,1
766 PINE STREET,11208,2
255 4 AVENUE,11215,3
784 QUINCY STREET,11221,2
494 PROSPECT PLACE,11238,2
577 EVERGREEN AVENUE,11221,1
1310 DEAN STREET,11216,2
5 ALICE COURT,11213,1
4321 CHURCH AVENUE,11203,1
1717 62 STREET,11204,2
4701 CHURCH AVENUE,11203,13
1137 BLAKE AVENUE,11208,1
528 BRISTOL STREET,11212,1
902 UTICA AVENUE,11203,1
242 BAINBRIDGE STREET,11233,15
536 EAST   96 STREET,11212,1
612 EAST 16 STREET,11226,1
504 BRISTOL STREET,11212,12
415 HEGEMAN AVENUE,11207,1
1176 72 STREET,11228,1
344 CLASSON AVENUE,11238,1
3280 NOSTRAND AVENUE,11229,24
154 HIGHLAND PLACE,N/A,1
150 EAST 19 STREET,11226,131
475 WASHINGTON AVENUE,11238,2
661 BLAKE AVENUE,11207,2
508 CLEVELAND STREET,11208,2
122 SHERIDAN AVENUE,11208,1
421 COLUMBIA STREET,11231,1
191 EAST 52 STREET,11203,1
202 62 STREET,11220,8
395 EAST 49 STREET,11203,16
497 EAST 34 STREET,11203,1
9510 FOSTER AVENUE,11236,1
6305 FT HAMILTON PARKWAY,11219,1
175 ROGERS AVENUE,N/A,4
1405 ST JOHNS PLACE,11213,5
1444 GATES AVENUE,11237,3
1381 BUSHWICK AVENUE,11207,1
1679 EAST 34 STREET,11234,3
1019 NOSTRAND AVENUE,11225,15
124 TROUTMAN STREET,11206,1
742 LAFAYETTE AVENUE,11221,1
97 MAC DONOUGH STREET,11216,1
1152 ST JOHNS PLACE,11213,1
15 BAY   35 STREET,11214,1
1702 77 STREET,11214,23
259 CORNELIA STREET,11221,1
568 RIDGEWOOD AVENUE,11208,1
335 LEFFERTS AVENUE,11225,43
90 HANCOCK STREET,11216,1
75 WILSON AVENUE,11237,1
50 NORTH 5 STREET,11249,1
1959 EAST 17 STREET,11229,11
70 NELSON STREET,11231,1
506 VAN SICLEN AVENUE,11207,2
1376 PARK PLACE,11213,1
1540 PARK PLACE,11213,2
1198 OCEAN AVENUE,N/A,1
762 MYRTLE AVENUE,11206,1
211 BAY 14 STREET,11214,1
19 SPENCER STREET,11205,1
281 WYONA STREET,11207,9
1385 CONEY ISLAND AVENUE,11230,2
65 WOODBINE STREET,11221,2
1502 BEDFORD AVENUE,11216,8
129 MILLER AVENUE,11207,1
414 EAST 94 STREET,N/A,1
214 SCHOLES STREET,11206,10
